client_id;dt;total_add_count;total_click_count;total_view_count
67294697;21.06.2024;7;0;3
66828254;21.06.2024;7;6;0
66315804;21.06.2024;7;1;4
66171157;21.06.2024;7;2;1
63335422;21.06.2024;7;1;9
59754733;21.06.2024;7;2;2
52954659;21.06.2024;7;1;1
49010785;21.06.2024;7;1;0
43085898;21.06.2024;7;2;0
41791150;21.06.2024;7;0;0
41243585;21.06.2024;7;1;1
40067453;21.06.2024;7;4;3
36199729;21.06.2024;7;1;1
32078474;21.06.2024;7;3;8
30186340;21.06.2024;7;2;3
29630858;21.06.2024;7;1;1
20183091;21.06.2024;7;1;0
16692928;21.06.2024;7;0;1
16280603;21.06.2024;7;2;0
15467606;21.06.2024;7;3;1
14760378;21.06.2024;7;0;0
14529268;21.06.2024;7;3;0
14340206;21.06.2024;7;3;1
14314678;21.06.2024;7;0;0
14295180;21.06.2024;7;1;0
12606211;21.06.2024;7;1;0
12596950;21.06.2024;7;2;1
12246285;21.06.2024;7;4;0
12094291;21.06.2024;7;8;6
11715009;21.06.2024;7;4;1
11520747;21.06.2024;7;2;0
11468115;21.06.2024;7;4;1
11329048;21.06.2024;7;0;1
11125668;21.06.2024;7;2;0
10941701;21.06.2024;7;2;4
